PatchVersion BranchName PatchReleaseDate BaseVersion BaseCommit BaseReleaseDate
3.2.5-rt11 analysis-3.2.5-rt11 2012-02-07 3.2.5 v3.2.5 2012-02-06
3.2.5-rt12 analysis-3.2.5-rt12 2012-02-08 3.2.5 v3.2.5 2012-02-06
3.2.6-rt13 analysis-3.2.6-rt13 2012-02-15 3.2.6 v3.2.6 2012-02-13
3.2.9-rt14 analysis-3.2.9-rt14 2012-03-01 3.2.9 v3.2.9 2012-03-01
3.2.9-rt15 analysis-3.2.9-rt15 2012-03-02 3.2.9 v3.2.9 2012-03-01
3.2.9-rt16 analysis-3.2.9-rt16 2012-03-06 3.2.9 v3.2.9 2012-03-01
3.2.9-rt17 analysis-3.2.9-rt17 2012-03-07 3.2.9 v3.2.9 2012-03-01
3.2.10-rt18 analysis-3.2.10-rt18 2012-03-13 3.2.10 v3.2.10 2012-03-12
3.2.10-rt19 analysis-3.2.10-rt19 2012-03-13 3.2.10 v3.2.10 2012-03-12
3.2.11-rt20 analysis-3.2.11-rt20 2012-03-13 3.2.11 v3.2.11 2012-03-13
3.2.12-rt21 analysis-3.2.12-rt21 2012-03-21 3.2.12 v3.2.12 2012-03-19
3.2.12-rt22 analysis-3.2.12-rt22 2012-03-22 3.2.12 v3.2.12 2012-03-19
3.2.13-rt23 analysis-3.2.13-rt23 2012-03-22 3.2.13 v3.2.13 2012-03-23
